Topic,Subject,Question,Answer
"Actitud","hopeful","I have a promotion coming up in the next few weeks. I am hopeful that I will get a raise","that's awesome! I hope you will get a promotion. what do you do for work?"
"Actitud","joyful","I'm pretty happy that my daughters have a day off from school today.","Well_comma_ my daughters have a day off from school due to our state elections."
"Actitud","trusting","My mom said she'd go to the doctor the next time she started feeling weird heart palpitations again. I'm about a thousand miles away from her_comma_ so I can't force her to go. But I'm worried about her_comma_ as she's always avoided the doctor_comma_ and always been in poor health. Hope she does the right thing.","Sort of.. we have a neighbor that's been by her for 10 years_comma_ and they've been friends for a long time. But she's older herself_comma_ and has her own worries_comma_ so it's not like I can put more on her plate. My mother is just stubborn. I love her to death_comma_ but she's kind of a 'What will be_comma_ will be' type person_comma_ and just assumes life will happen and you can_comma_ nor should_comma_ do anything to get in the way of it."
"Actitud","confident","We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.","We had a really good time on our vacation a couple of weeks ago."
"Actitud","joyful","Get to hang out and play cards with my girlfriend and her parents. Her parents are actually pretty laid back and fun to be around_comma_ so I'm looking forward to it. Glad I don't have to deal with overbearing in-laws like some people.","That's good. Were you nervous at first?"
"Actitud","confident","I think I can get everything I need to get accomplished before the end of summer.","What all do you have to get done?"
"Actitud","proud","My school is low income_comma_ but we score in the top 5% statewide.","Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now."
"Actitud","confident","I have to make a tuna casserole for tomorrow.  I am sure I can do it well.","I bet it will be great - I've always loved a good tuna casserole!"
"Actitud","hopeful","We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.","Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol"
"Actitud","faithful","I've failed a lot of diets in the past_comma_ but this time I've been able to stay dedicated for the past four months. I'm seeing great progress now!","Yeah_comma_ that sounds like a really good idea!"
"Actitud","trusting","I was working on a boat_comma_ and I had to hope that my friend didn't screw something up while I had my hands in the engine.","Gosh I hate it when I have to work on complicated parts in my boat engine_comma_ when my friend is helping me."
"Actitud","confident","I recently went surfing and surfed waves everyone else was afraid to. I was the man_comma_","Yes_comma_ I've been surfing for ever. Only three of us in the water. "
"Actitud","hopeful","We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.","Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol"
"Actitud","excited","I am super hype for the new super smash bros_comma_ it looks so so good!","It comes out in December right? It would make a good holiday present!"
"Actitud","joyful","I was pretty happy to find out I was having a girl","I had her 7 months ago"
"Actitud","trusting","I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.","I hate that too. Most of the managers are like that. They never listen and they can be rude."
"Actitud","faithful","I am very faithful to my employer.","My employer provides me with lots of training and support so I have become very faithful to them."
"Actitud","hopeful","It's birthday soon. I want to be a better person.","Birthday wishes come true. You will have to work at it still though."
"Actitud","excited","I've never had a lust for life like I do these days.  I literally wake up every day stoked that I'm living my dreams and can't wait to see how much money I can make","Yes you have no idea...still grinding it out everyday but it's totally worth it"
"Actitud","faithful","I had a girl try to hook up with me_comma_ but i didnt do anything because I love my wife.","This attractive girl at the bar was trying to get me to go home with her the other night"
"Actitud","faithful","When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.","Well that's good. Sounds like it all worked out pretty well."
"Actitud","trusting","I knew my dad would help me with my test. He was good at math","I knew my dad would help me with my test. He was good with math"
"Actitud","joyful","I've had family visiting for the past couple of days_comma_ some cousins and an uncle and aunt that I haven't seen a long time. It's always great to be reunited with family_comma_ especially after you get over that first initial weird social hump of feeling each other out after not having spoken for a long time. It's crazy to see how much the younger cousins have physically changed! Anyway_comma_ it's been a blast playing games and catching up with them.","wow thats great"
"Actitud","joyful","I'm very proud of my daughters.","I am very proud of my daughters."
"Actitud","hopeful","I am confident my brother will beat his cancer.","I am confident my brother will beat this cancer."
"Actitud","prepared","It was my first time taking the DMV test. I went there rather early and aced the test.","Yes it was even though I was a bit nervous."
"Actitud","joyful","Going to disney world in december!","Oh that's exciting! Have you gone before?"
"Actitud","faithful","I was invited to church this last weekend. I went and felt very optimistic in the church.","I went to church with a friend recently."
"Actitud","hopeful","I'm meeting a girl for a date at the zoo this afternoon.","What's your favorite exhibit at the zoo?"
"Actitud","hopeful","My daughter starts public school for the first time in 3 years. I think she is going to do well","My daughter starts public school for the first time in 3 years! I think she is going to do great but she's a little bit nervous."
"Actitud","prepared","I had been grinding at home trying to build my website when this girl I hadn't heard from since high school called. She said she was in town and wanted to catch up.  Deciding I needed a break from work I turned off my laptop_comma_ threw on some fresh khakis and air nikes and 2 condoms just in case.  Turned out it's always better safe than sorry.","They're known to cause erectile dysfunction? There's chemicals in the laces_comma_ dude! A conspiracy I tell you! Done by OBAMA!"
"Actitud","prepared","I knew I was going to pass my drivers test. I just knew I would do well","I knew I was going to pass my drivers test. I knew I would do well"
"Actitud","trusting","i felt trusting when my dad and my mon care for me","Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties."
"Actitud","excited","Recently we decided to rescue another kitten. We were so thrilled to be adding another furry member to our family and save a life.","That is great! Adopt_comma_ don't shop! Always a great motto!"
"Actitud","trusting","I let my son drive the car for the first time.","You must be so proud of him!"
