,Topic,Subject,Text
0,Algoritmo,Ejemplo de algoritmo,"An example of an algorithm in the field of cooking could be how to make croquettes. The steps of this algorithm would be as follows: Step 1: Chop the ham into small pieces, Step 2: Put in a frying pan a little butter, a tablespoon of flour..."
1,Algoritmo,Historia del algoritmo,"Around 300 B.C. in Hellenistic Greece, the mathematician Euclid wrote 'Elements', a work that would lay the foundations for the geometry of the next millennia, that text includes his famous algorithm for finding the greatest common divisor."
2,Algoritmo,Historia del algoritmo,"Humans have created, modified and used algorithms throughout history. More than 4500 years ago the Sumerians illustrated on clay tablets a repetitive method used to equally distribute the grain harvest among a varying number of men."
3,Algoritmo,Ejemplo de algoritmo de recomendación,"Spotify, YouTube or Instagram also work with recommendation algorithms. On their success, i.e. how accurate they are in guessing what content users will like, depends not only the profitability of the brands that offer them, but also the user experience on the channel itself. If when you go into Spotify and click on the Radio option, songs that hurt your ears were playing, wouldn't you repeat?"
4,Algoritmo,Ejemplo de algoritmo,"Edgerank is the name of Facebook's algorithm and is responsible for determining which posts you see every time you access the social network. No, it's not about the latest ones that all your contacts have published, but about those that Edgerank thinks may be of interest to you. So if you haven't heard from your old classmate in a while, blame this algorithm."
5,Algoritmo,Ejemplo de algoritmo,"Google's PageRank algorithm is perhaps the best known algorithm in the digital world. Its function is to select the order of the links that appear when you insert a word or set of words in the search box. But in the king of search engines also operate other algorithms, less known, which are responsible for filtering the results by country of origin, language ... in addition to selecting what paid content (ads) each user sees at that time of day and for that keyword."
6,Algoritmo,Partes del algoritmo,"The parts of which an algorithm is composed are the inputs, the processing or instructions, and the outputs or the result obtained. "
7,Algoritmo,Input del algoritmo,An example of input in the field of computer science could be the web pages detected by the search engine spider.
8,Algoritmo,Input del algoritmo,The input is the data on which the instructions are applied.
9,Algoritmo,Clasificación de los algoritmos,"The third criterion that can be used for their classification is based on their strategy to reach a result. In this group we can mention probabilistic, heuristic, greedy, scaling and deterministic algorithms."
10,Algoritmo,Input del algoritmo,An example of input in the field of cooking could be the ingredients of a recipe.
11,Algoritmo,Clasificación de los algoritmos,"Depending on the criterion used, different classifications are applied to algorithms. For example, if we use the classification by the system of signs with which the steps to be followed in the algorithm are described, we can differentiate two types, qualitative algorithms: those whose steps are verbal instructions and quantitative algorithms: those that follow instructions of numerical calculations."
12,Algoritmo,Características de los algoritmos,"One of the characteristics of algorithms is that they are complete, i.e., all possibilities of the problem must be considered in the solution."
13,Algoritmo,Características de los algoritmos,"One of the characteristics of algorithms is that they are deterministic, that is, given the same data or input, the output is always the same."
14,Algoritmo,Características de los algoritmos,One of the characteristics of algorithms is that algorithms always give a result at the end.
15,Algoritmo,Características de los algoritmos,One of the characteristics of algorithms is that the rules that compose it are applied in an orderly fashion.
16,Algoritmo,Características de los algoritmos,"One of the characteristics of algorithms is that the instructions or rules are finite, i.e., there are a certain number of them."
17,Algoritmo,Definición de agente inteligente,"An algorithm is a set of defined rules that allows a problem to be solved, in a certain way, by means of systematic (not necessarily ordered) and finite operations. These instructions, defined and ordered according to the data, solve the problem or task."
18,Algoritmo,Definición de agente inteligente,The most commonly used definition of algorithm is the following: sequence of instructions to solve a problem.
19,Algoritmo,Clasificación de los algoritmos,"If they are classified on the basis of their function, three main groups can be established such as search algorithms, sorting algorithms and routing algorithms."
20,Reglas de asociación,Ejemplo de reglas de asociación,"Learning association rules tells us that if a user buys, for example, a book, how likely it is that he will buy another book, where these two books are related because other users bought them both. "
21,Reglas de asociación,Definición de reglas de asociación,"An association rule is defined as an implication of the type 'if X then Y', where X and Y are itemsets or individual items. The left-hand side of the rule is called the antecedent or lenft-hand-side (LHS) and the right-hand side is called the consequent or right-hand-side (RHS)."
22,Reglas de asociación,Definición de reglas de asociación,"Association rules are logical implications of the type 'If X, then Y'. They can be obtained from a decision tree or deduced directly from the training set. For example, if we have a data set with information of the height (X), width (Y) and depth (Z) of an object and we want to classify it as large or small we can have rules like: If (X > 20) then large, If (X <= 20) then small, If (X > 10) and (Y>10) then large."
23,Realidad aumentada,Definición de realidad aumentada,Augmented Reality (AR) is a technology that allows us to superimpose virtual elements on our vision of reality.
24,Realidad aumentada,Ejemplo de realidad aumentada,"The most famous example of augmented reality in recent years is Pokémon Go, which superimposes elements of the game on the real world. Pokémon appear on your screen as if you were viewing them through the lens of your device's camera."
25,Realidad aumentada,Definición de realidad aumentada,"Augmented Reality is the set of technologies that allow to visualize, through some kind of device, the real world with some ""extras"". These extras can be graphics, photos or videos, interactive or not, that add information to what a human being would normally see. It differs from Virtual Reality in that the latter does not incorporate real elements, it is completely virtual, in the sense that what is seen, is generated by a computer."
26,Realidad aumentada,Definición de realidad aumentada,Augmented reality is a set of techniques that allow the application of virtual elements on a representation of physical reality.
27,Autoencoder,Definición de autoencoder,"Autoencoders are artificial neural networks, trained in an unsupervised manner, that aim to first learn the encoded representations of our data and then generate the input data (as closely as possible) from the learned encoded representations."
28,Autoencoder,Definición de autoencoder,An autoencoder is a type of artificial neural network used to learn efficient encodings from unlabeled data. The encoding is validated and refined by attempting to regenerate the input from the encoding.
29,Autoencoder,Definición de autoencoder,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoder. They function as a normal multilayer neural network and are used to learn efficient encodings from unlabeled data. The hidden layers of the network get smaller and smaller in the encoder portion and then grow again in the decoder. The idea is to be able to reduce the amount of information needed to represent the information. This minimal portion of data is used to reconstruct the input signal in the decoding phase.
30,Big data,Definición de big data,"The term 'big data' refers to data that is so big, or complex that are difficult or impossible to process with traditional methods. The act ofaccessing and storing large amounts of information for analytics has been around for a long time."
31,Big data,Uso de big data,"What makes Big Data so useful for many companies is the fact that it provides answers to many questions that companies didn't even know they had. In other words, it provides a benchmark. With such a large amount of information, the data can be shaped or tested in any way the company sees fit. In doing so, organizations are able to identify problems in a more understandable way."
32,Big data,Definición de big data,"Big Data refers to a large amount of data, both structured and unstructured, that cannot be analyzed by conventional algorithms. Think of the DNA of the organisms that inhabit our planet, or the number of TikTok videos that are posted every day. Conventional algorithms get ""choked"" with so much data and different algorithms and strategies need to be used. "
33,Blockchain,Blockchain example,"Blockchain provides a number of advantages associated with authentication and security. Therefore, blockchain will have an impact on the telecommunications sector, especially in terms of network and business management. It helps to improve business competitiveness and customer satisfaction."
34,Blockchain,Ejemplo de blockchain,"Blockchain enables more efficient management of payments and premium collections, as well as reducing operational costs by streamlining all processes. As mentioned above, blockchain is also very useful for detecting fraud and brings a lot of transparency to actions."
35,Blockchain,Ejemplo de blockchain,"The banking sector was the first to incorporate blockchain into its operational processes, as this technology was born in a transactional environment. Blockchain can facilitate the commercialization of certain banking products and ensure speed in operations, in addition to avoiding fraud risks."
36,Blockchain,Definición de blockchain,"Blockchain, or blockchain, is a distributed digital ledger that stores data of any type."
37,Blockchain,Definición de blockchain,"Blockchain is a distributed, decentralized system used to store blocks of transactions and verify them with a network of nodes. These blocks cannot be altered once verified."
38,Blockchain,Definición de blockchain,"Blockchain is a set of technologies that allow for a secure, decentralized, synchronized and distributed record of digital transactions, without the need for third party intermediation."
39,Blockchain,Definición de blockchain,"Blockchain is a system for digital transfer based on the distribution of information in several independent computers that record and validate such information, eliminating intermediaries. If we talk about bank transfers, these could be done without the need for a centralized computer (a bank)."
40,Bot,Ejemplo de bot,"Bots used in political campaigns are called social bots, and are often used to generate content on social networks and thus generate or support certain ideas or influence political processes, for example by denigrating opposing candidates or to grow the popularity of a particular candidate in presidential or parliamentary elections. This political use of the bot that generates content on the Internet has a growing presence around the world, and various studies have found that the percentage of activity generated by bots during elections in many cases exceeds 10% of the publications made."
41,Bot,Tipos de bot,"Some types of bots are the following chat bots, web crawlers, social bots, malicious bots."
42,Bot,Ejemplo de bot,"In the video game environment, a bot is a program that is capable of playing the game itself (also known as a borg). The quality of the bot in this case is determined by its ability to beat (and on what terms) the game. Bots for CRPG (computer role-playing games) games are particularly well known as these types of applications require a great capacity for strategy to win them. It is also very common to use this term in first-person shooter games, where they replace a human player when no opponents are available or in offline play. "
43,Bot,Definición de bot,"A bot is a software application that is programmed to perform certain tasks. Bots are automated, meaning that they run according to your instructions without a human user having to manually launch them each time. Bots often mimic or replace the behavior of a human. They typically perform repetitive tasks and can do them much faster than people would."
44,Bot,Definición de bot,"A bot is a computer program capable of performing repetitive tasks. It commonly operates on the Internet and usually simulates the behavior that a person would have, doing the same thing but automatically. Conversational bots that function as virtual assistants or chatbots are an example (Siri, Alexa, Cortana...). Another example are the bots in charge of performing the indexing of web pages, so that when you do a search you find what you want."
45,Ciencia de datos,Ejemplo de ciencia de datos,"One possible use can be the identification of cyber threats from access data to systems and network resources. Patterns are searched for and alerts are raised when situations are detected that do not respond to a predefined pattern. "
46,Ciencia de datos,Ventajas de la ciencia de datos,"A data science platform decreases redundancies and fosters innovation by enabling teams to share code, results and reports. It eliminates workflow bottlenecks by simplifying administration and incorporating best practices."
47,Ciencia de datos,Expertos en ciencia de datos,"Data science practitioners are called data scientists and combine a variety of expertise to analyze data collected from the web, smartphones, customers, sensors and other sources to derive useful information. "
48,Ciencia de datos,Definición de ciencia de datos,"Data science combines multiple fields, such as statistics, scientific methods, artificial intelligence (AI) and data analytics to extract value from data."
49,Ciencia de datos,Definición de ciencia de datos,"Data science is an interdisciplinary field that involves scientific methods, processes and systems for extracting knowledge or a better understanding of data in its various forms, whether structured or unstructured."
50,Ciencia de datos,Definición de ciencia de datos,Data science encompasses tools that enable useful information to be extracted from data sets. It mainly includes statistics and computer science (specifically data mining and machine learning techniques). It has become very popular since the concept of Big Data was coined. Data scientists constitute a new academic profile. There are several master's degrees that specialize in Data Science and it is likely that soon there will also be specific degree programs...
51,Árbol de decisión,Definición de árbol de decisión,"It is the representation of a set of rules for making a decision. There is a learning model that learns these rules based on examples. The trick is to identify those decisions that best divide the set of examples. For example, if we have to classify a shopping basket into a Christmas basket or a normal basket, whether a sweet bread or a nougat is inside is almost decisive. The more relevant decisions will be higher up in the hierarchy of the resulting tree."
52,Árbol de decisión,Definición de árbol de decisión,"A decision tree is a prediction model used in various fields ranging from artificial intelligence to economics. "
53,Árbol de decisión,Definición de árbol de decisión,"A decision tree diagram allows you to evaluate through a graphical representation the possible outcomes, costs and consequences of a decision tree.of a complex decision. This method is very useful for analyzing quantitative data and making a decision based on numbers."
54,Variables dummy,Definición de variables dummy,Dummy or indicator variables are used to identify categories or classes to which the observations belong.
55,Variables dummy,Definición de variables dummy,"A Dummy Variable is a variable that is created when the original variable cannot be used. For example, if we have a categorical variable such as ""color"" (which can take values ""green"", ""blue"" or ""red"") and we want to measure distances between different instances, we will have to convert it into numeric values. One option is to use one-hot encoding and convert the variable ""color"" into three new dummy variables (one per color). These three variables will be binary and can take the value of 0 or 1, but only one of these three variables will be 1 at a time. This way we can compare colors using a hamming distance."
56,Variables dummy,Definición de variables dummy,"In statistics and econometrics, particularly in regression analysis, a dummy variable is one that takes only the value 0 or 1 to indicate the absence or presence of some categorical effect that can be expected to change the outcome."
57,Aprendizaje federado,Ejemplo de aprendizaje federado,"The technique can train an algorithm with data stored in multiple different hospitals without that data leaving their facilities or having to be copied to a technology company's servers. To do this, separate models at each hospital must first be trained on the available local data. Then, all the models are sent to a central server where they are combined into a master model. As each hospital acquires more data, it can download the latest master model, update it with its new information and send it back to the central server. During this process, the raw data is never exchanged; the only thing that is transferred is the algorithms, which cannot be reverse-engineered to reveal that data."
58,Aprendizaje federado,Definición de aprendizaje federado,"Federated learning is a machine learning technique that allows to train an algorithm in a decentralized way,using their own (private and local) data. It is also known as Collaborative Learning, as each user learns a model with their own data, but only shares this model (data remains private) with other users."
59,Modelos generativos,Definición de modelos generativos,"Generative models allow a machine to 'learn' the patterns that exist in the data they are trained on and from that learning, they are able to generate similar data that in some cases can be almost as 'real' as that which was initially used for training."
60,Modelos generativos,Ejemplo de modelos generativos,"In particular, Generative Adversarial Neural Networks (GAN's) can generate new images that look like or are similar to the images they were trained with, but are individually different from all of them. "
61,Modelos generativos,Definición de modelos generativos,"A generative model is a deep architecture endowed with learning algorithms whose mission is to learn any type of data distribution, all this applied within the unsupervised learning paradigm."
62,Modelos generativos,Definición de modelos generativos,"Generative models are so called because they generate new examples, similar to those of the data set they were trained on. They are also known as Generative Antagonistic Networks or GANs.English). They are basically two models (artificial neural networks) that compete with each other: one generates new examples and the other tries to discriminate between real and synthetic examples. Gradual y the generator becomes so good that the discriminator is unable to distinguish fact from fiction."
63,Grafo,Definición de grafo,"You can represent a problem as a graph, for example, the connection between people in a social network. Each point in the graph is a person and the lines connecting them represent friendships. Using that data structure it is possible to apply specific graph theory algorithms to: Detect communities, Identify influential people, Measure the popularity of a person, Detect who controls the flow of information. and much more! "
64,Grafo,Definición de grafo,"A graph is a symbolic representation of the constituent elements of a system or set, by means of graphical schemes."
65,Grafo,Definición de grafo,"A graph is a non-empty set of objects called vertices (or nodes) and a selection of pairs of vertices, called edges, which can be oriented or not."
66,Unidad de Procesamiento Gráfico (GPU),Definición de Unidad de Procesamiento Gráfico (GPU),"GPU- accelerated computing is the use of a graphics processing unit (GPU) in conjunction with a CPU to accelerate the performance of deep learning, analytics and engineering applications."
67,Unidad de Procesamiento Gráfico (GPU),Definición de Unidad de Procesamiento Gráfico (GPU),"A GPU is a processor designed to handle graphics operations. This includes 2D and 3D calculations, although GPUs excel primarily at rendering 3D graphics. "
68,Unidad de Procesamiento Gráfico (GPU),Definición de Unidad de Procesamiento Gráfico (GPU),"A graphics processing unit (GPU) or graphics processor is a coprocessor dedicated to graphics processing or floating point operations, to lighten the workload of the central processor/CPU in applications such as video games or interactive 3D applications."
