source,target
"What is the definition of a graphics processing unit?","A graphics processing unit (GPU) is a piece of computer hardware that handles computer graphics operations."
"My friend speaks 4 languages. I'm sure they'll get that interpreter job at the embassy.","Yea. English of course_comma_ then French_comma_ Spanisha and Chinese."
"What is the term for the use of sensors and actuators in the home?","The use of sensors and actuators in the home is increasing."
"What is the name of the new technology being used to help businesses manage their digital assets?","A new technology is being used to help businesses manage their digital assets."
"What is the condition that a 3D printer should be kept in?","We have been using a 3D printer for a long time and have found that it is very expensive to keep up."
"What is the definition of augmented reality?","The Augmented Reality Association (ARA) is a non-profit organisation that promotes the use of augmented reality in the hospitality industry."
"What's your name?","My name is Sara. What would you like to talk about?"
"What is the definition of smart data?","The term Smart Data is a description of a technology that uses data to make information more useful."
"I let my son drive the car for the first time.","You must be so proud of him!"
"Took the kiddos to the lake","That sound fun! I love to eat fresh fish!"
"What exactly is a machine learning model?","A machine learning model is a computer file that has been trained to know certain things."
"I was pretty happy to find out I was having a girl","I had her 7 months ago"
"When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.","Well that's good. Sounds like it all worked out pretty well."
"I just celebrated 25 years at my job.","You should've made them buy another cake!"
"I just got a steam cleaner and used it for the first time yesterday. My carpets came out so clean!","I was in the market for a steam cleaner and did tons of research til I chose the best one."
"Gareth Bale played his best in the champion's league final. I was thrilled after I watched his game.","Have you watched champion's league final?"
"I am feeling more positive about the future today. I am really trying to hold on to that feeling no matter what. It's hard!","That is good!  Why have you been feeling down about the future before?"
"I can't even fall asleep waiting to go on our vacation. ","Oh_comma_ well that is a fine thing indeed! I would be  jumping up and down!"
"I remember going to State Football Championship. I told my teammates on the bus before we got off that if anybody isn't ready to leave this field with the trophy stay on the bus. The whole bus was quiet. The bus driver looked at me and said I think you guys need the listen to him he doesn't look like he's playing. We eventually won that game . ","WE won 60 - 3 "
"I recently applied for a job at a new company. Getting this job would but such a step up for me and my family. It would really be great if I got it.","Well I hope you get it. Good luck!"
"We went through hurricane irma last year. We got everything we needed and put metal shutter on all the windows and decided to stay. "," i must have been terrifying_comma_ I am glad you both made it through it"
"I was cooking some food recently. I made a hard to make recipe and it worked!","That is trivia. When i am hyped_comma_ i cook lasagna. I know that is hard to cook_comma_ but i mastered it all on my own"
"I am going to meet up with a special friend I haven't seen for  years","That's pretty cool. I don't see my friends much since I moved."
"I feel I can do things on my own. I didn't always feel this way_comma_ so it's nice I am empowered now and can accomplish things on my own.","My resolve I guess? Nothing changed for the better but inside me at least I know I can do it on my own because it's 1000 times better than the alternative. I'll do whatever it takes."
"I felt so happy seeing my high school friends last month. We were at our reunion","True! All those old memories started rushing in"
"What is the name of the tool that you use to find out how to use a site?","It is a great tool to help you learn how to use a website."
"What is the definition of association rules?","In this paper we will look at the use of association rules in decision trees."
"When I was a little kid I used to put my faith in everybody.  I learned later on_comma_ as I matured that you can't rely on other people too much because only you know what is best for you in life while everyone else will try to use you if they see you doing too well in life","I understand. Do you like Tony Montana in the movie Scarface?"
"What is the name of the initiative that promotes the use of green computing?","The World Green Computing Council (WGC) has launched a new initiative to promote the use of green computing in the world."
"I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint","I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint"
"What is a decision tree diagram?","A decision tree diagram is a very useful tool for making decisions."
"What is the definition of tabla hash?","Hash tables are a popular way to store large amounts of data."
"god has done so much for me in my life. i owe everything to him","and i know he's going to come back for me and take me away from this place"
"What is the name of the European Commission report?","The European Commission has published a report on machine testing 'breakthrough' technology."
"My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!","You must be so proud. That really is a great accomplishment that he has made. Is he going to college?"
"3","A key to a long relationship is persistence_comma_ so keep at it! "
"My daughter starts public school for the first time in 3 years. I think she is going to do well","My daughter starts public school for the first time in 3 years! I think she is going to do great but she's a little bit nervous."
